365545.428,360142.502,2829.819
365595.385,357679.706,4697.505
365649.341,354546.441,1807.837
365663.577,360011.007,3016.483
365663.577,360011.007,3016.483
365679.985,358733.565,9210.538
365691.827,354279.581,8779.710
365691.827,354279.581,8779.710
365698.575,354284.100,7409.611
365699.753,366985.940,2804.419
365701.639,353576.423,2981.968
365717.780,353130.954,11567.821
365728.198,353503.874,9919.774
365739.676,353907.878,10162.284
365791.653,354775.919,1573.129
365835.078,362770.975,8053.261
365866.491,358777.538,3800.578
365874.782,353238.184,3178.980
365888.892,354259.695,10306.205
365947.981,353581.848,5882.962
365989.724,366651.803,3037.377
365995.155,353001.193,3246.114
366051.070,352771.369,3416.124
366058.863,368764.252,6224.529
366103.363,371273.905,7631.470
366107.568,369690.731,7182.879
366107.568,369690.731,7182.879
366107.568,369690.731,7182.879
366156.813,372754.748,3015.311
366163.337,366376.725,3006.728
366181.168,374170.773,3377.664
366187.488,354665.467,1569.595
366202.564,350956.707,4684.859
366237.689,369027.129,6013.810
366259.347,368230.921,1754.454
366267.384,361146.681,1724.687
366275.727,375506.241,10163.057
366299.428,375807.067,10335.790
366300.253,352514.200,3802.296
366312.100,367587.461,1781.183
366323.888,376167.563,10513.533
366336.691,371365.450,2156.784
366380.213,362048.560,5467.584
366409.106,361719.785,5317.074
366412.799,370014.126,3147.039
366413.221,368012.979,1878.291
366419.680,367396.040,1864.958
366457.786,362381.344,5667.032
366472.080,369304.267,5782.945
366506.785,360864.683,1909.690
366527.876,360168.162,4363.435
366528.592,365496.590,7273.419
366619.999,369822.236,2854.779
366654.753,370475.074,10191.092
366662.985,369550.456,9074.143
366706.231,360455.387,2083.869
366850.486,360188.046,2190.814
366873.678,369736.354,2624.608
366989.653,364584.497,3318.958
367105.678,369078.535,4077.382
367416.061,361870.288,4530.649
367829.581,343011.519,7439.366
367997.853,350467.877,10572.267
368114.560,350257.905,10861.284
368163.187,349906.605,11041.456
368427.519,341949.532,8260.353
368888.571,364693.407,2260.573
369028.205,358742.601,7518.823
369041.379,363146.829,8734.843
369119.857,369223.116,3026.078
369208.365,367372.176,3748.175
369216.699,367485.159,3366.561
369268.996,367288.299,4088.372
369283.953,369082.394,4454.020
369331.230,369743.505,4805.016
369367.769,369413.206,4659.121
369395.287,362098.235,5864.049
369395.534,366094.622,2509.588
369652.702,358467.875,10444.944
370140.502,357770.964,11515.672
370822.648,360692.652,6602.158
370989.215,360434.281,6787.817
371346.259,359908.368,7194.964
371679.393,359391.625,7566.281
371857.914,359128.669,7769.855
